Name,FIPS,"# Total Population [B01003] | Total population, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | Under 5 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 5 to 9 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 10 to 14 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 15 to 17 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 18 and 19 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 20 to 24 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 25 to 29 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 30 to 34 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 35 to 44 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 45 to 54 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 55 to 64 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 65 to 74 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 75 to 84 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 85 years and over, 2017"
"11238, Brooklyn, NY",11238,55398,1284,785,499,235,60,1184,4176,5123,5404,2235,1798,786,274,153
"11239, Brooklyn, NY",11239,12713,140,169,18,56,0,5,170,122,163,266,539,739,875,420
"11351, Flushing, NY",11351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11354, Flushing, NY",11354,57566,472,384,529,114,97,430,461,655,789,1893,1852,1772,1357,1129
"11355, Flushing, NY",11355,82890,311,387,345,378,118,590,692,376,1198,1370,1570,1431,1289,595
"11356, College Point, NY",11356,24069,369,336,483,236,126,413,485,516,979,1354,1207,754,933,179
"11357, Whitestone, NY",11357,41393,1498,1297,1449,1005,507,1655,1163,1775,3194,4264,4082,3303,2547,1173
"11358, Flushing, NY",11358,36959,489,503,731,525,227,922,1206,759,1491,2201,2768,2183,1433,621
"11359, Bayside, NY",11359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11360, Bayside, NY",11360,19501,681,610,520,170,117,393,489,420,1624,1525,2093,1711,1396,989
"11361, Bayside, NY",11361,29072,503,587,611,413,266,869,1004,1123,1926,1789,2130,1670,925,756
"11362, Little Neck, NY",11362,18443,195,234,300,211,106,328,548,266,842,1051,1633,1645,807,909
"11363, Little Neck, NY",11363,7423,211,218,285,93,78,217,230,139,455,669,738,581,336,185
"11364, Oakland Gardens, NY",11364,35885,559,670,473,518,175,440,620,1042,1430,2439,2417,2140,1068,716
"11365, Fresh Meadows, NY",11365,45565,816,402,766,268,359,836,1082,740,1574,2486,2589,1667,1281,1223
"11366, Fresh Meadows, NY",11366,14308,300,265,275,184,70,368,345,353,600,687,848,848,493,266
"11367, Flushing, NY",11367,43496,2922,1855,1391,750,720,1544,2287,1660,2747,1658,2882,2238,1135,611
"11368, Corona, NY",11368,114647,4568,3772,3101,1448,1031,3535,3784,4340,7627,4348,3818,2426,1033,524
"11369, East Elmhurst, NY",11369,37325,610,383,475,279,213,837,762,734,1312,1300,1493,962,590,179
"11370, East Elmhurst, NY",11370,33789,785,521,605,418,304,869,1271,1113,2120,2092,1586,1320,815,360
"11371, Flushing, NY",11371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11372, Jackson Heights, NY",11372,64298,1826,1873,1598,1176,580,1952,2459,3648,6286,6159,4174,3610,1793,724
"11373, Elmhurst, NY",11373,96353,1714,1365,815,488,326,1551,1566,1837,3410,3075,2818,2421,1241,721
"11374, Rego Park, NY",11374,43540,1178,846,694,494,121,779,1785,1890,2845,3200,3862,2976,2230,1049
"11375, Forest Hills, NY",11375,72937,2712,2229,1787,842,633,1342,2707,3484,6585,5821,6180,5269,3563,2010
"11377, Woodside, NY",11377,89688,2224,1960,1896,1055,487,2291,4276,3643,7580,6179,4942,3627,2571,800
"11378, Maspeth, NY",11378,35844,1624,1489,1505,943,445,1496,1725,2199,3741,3686,3605,2201,1155,717
"11379, Middle Village, NY",11379,37524,1289,1675,1677,852,410,1301,1701,2084,3896,4603,4313,3015,2111,904
"11385, Ridgewood, NY",11385,106598,5413,5330,5078,3201,1852,6195,8063,7372,13424,11809,10077,4973,3272,1310
"11411, Cambria Heights, NY",11411,19990,4,10,6,0,0,20,9,27,65,86,47,42,86,27
"11412, Saint Albans, NY",11412,38833,83,79,19,53,21,28,18,158,113,79,72,65,31,29
"11413, Springfield Gardens, NY",11413,42895,30,23,54,57,7,13,59,104,165,169,108,80,32,56
"11414, Howard Beach, NY",11414,29203,1232,805,949,719,245,954,1242,774,3217,3039,3788,2636,1885,1270
"11415, Kew Gardens, NY",11415,19900,689,602,482,303,171,529,783,949,1691,1586,1663,1408,594,465
"11416, Ozone Park, NY",11416,27567,423,454,485,314,178,505,751,399,949,1067,1023,633,378,161
"11417, Ozone Park, NY",11417,32425,613,663,672,307,206,981,652,588,1495,1976,1831,1206,570,348
"11418, Richmond Hill, NY",11418,39267,1159,974,990,510,314,1064,1244,1188,1940,2127,2067,1147,516,364
"11419, South Richmond Hill, NY",11419,52392,315,271,319,157,108,277,511,367,720,566,802,536,354,175
"11420, South Ozone Park, NY",11420,49396,298,364,456,391,207,581,608,398,749,1208,1240,741,362,234
"11421, Woodhaven, NY",11421,43567,1348,1506,1112,695,511,1585,1502,1649,2899,2925,2940,1730,840,375
"11422, Rosedale, NY",11422,33479,132,85,62,18,23,66,155,148,267,236,403,293,162,127
"11423, Hollis, NY",11423,32407,136,242,217,114,98,389,131,179,417,515,793,514,313,246
"11424, Jamaica, NY",11424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11425, Jamaica, NY",11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11426, Bellerose, NY",11426,21166,312,440,328,273,226,485,599,419,989,1219,1488,1304,325,360
"11427, Queens Village, NY",11427,23809,393,191,266,142,151,424,269,160,729,819,1051,822,512,369
"11428, Queens Village, NY",11428,19859,145,105,315,177,85,329,229,260,536,781,541,673,238,122
"11429, Queens Village, NY",11429,27667,52,24,59,36,11,12,76,70,99,128,194,114,67,44
"11430, Jamaica, NY",11430,183,5,0,0,0,0,0,0,0,0,0,0,7,0,0
"11432, Jamaica, NY",11432,65098,941,653,753,446,1411,1268,829,889,1478,1431,1730,1205,879,472
"11433, Jamaica, NY",11433,36019,53,65,73,41,16,63,72,157,170,152,135,89,41,17
"11434, Jamaica, NY",11434,66725,60,60,57,58,19,110,127,189,255,164,245,285,141,121
"11435, Jamaica, NY",11435,59214,559,548,450,348,209,497,913,942,1486,1677,1722,960,694,405
"11436, Jamaica, NY",11436,20905,46,172,159,47,38,93,138,134,269,174,213,50,2,6
"11451, Jamaica, NY",11451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11691, Far Rockaway, NY",11691,65356,3245,2872,1930,982,702,1507,1812,1533,2745,2418,2659,1679,1754,685
"11692, Arverne, NY",11692,20242,375,486,265,187,103,339,231,471,762,543,520,403,170,86
"11693, Far Rockaway, NY",11693,12709,729,656,494,179,19,410,371,435,1110,1272,1211,894,236,13
"11694, Rockaway Park, NY",11694,21003,877,546,1076,742,216,641,737,1117,1726,2625,3215,2101,1159,728
"11697, Breezy Point, NY",11697,3702,193,206,258,150,39,182,174,94,302,516,553,420,324,149
