Name,FIPS,"# Total Population [B01003] | Total population, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Car, truck, or van, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Car, truck, or van | Carpooled, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Bicycle, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Walked, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Taxicab, motorcycle, or other means, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Worked at home, 2017"
"10454, Bronx, NY",10454,38654,12.0375,2.841,1.1457,10.0403,1.5405,2.2836
"10455, Bronx, NY",10455,42558,17.3139,2.7889,0.778,7.5493,1.6483,4.5164
"10456, Bronx, NY",10456,94667,19.068,3.5716,0.3669,9.2808,1.1491,2.6621
"10457, Bronx, NY",10457,75668,19.5953,3.1645,0.199,7.5829,1.7831,4.7337
"10458, Bronx, NY",10458,85157,17.2141,2.759,0.1254,11.7647,1.3288,3.3861
"10459, Bronx, NY",10459,48895,19.1064,3.2745,0.3998,7.2722,1.4697,3.8859
"10460, Bronx, NY",10460,60772,24.9729,4.72,0.2529,5.8582,1.215,3.0985
"10461, Bronx, NY",10461,51021,42.5944,7.0991,0.4758,8.3423,1.1575,2.5721
"10462, Bronx, NY",10462,79188,25.3238,4.8231,0.4444,7.0612,1.9834,2.5389
"10463, Bronx, NY",10463,72863,28.4484,4.574,0.8102,7.1091,1.7818,4.6726
"10464, Bronx, NY",10464,4517,65.7219,3.7201,0,5.5802,0.7086,6.4659
"10465, Bronx, NY",10465,44269,60.4269,9.9367,0.0511,4.3301,1.1897,2.7727
"10466, Bronx, NY",10466,73569,41.6974,6.4424,0.6143,4.6057,0.9734,1.5531
"10467, Bronx, NY",10467,102718,24.0343,3.5942,0.6704,8.4471,1.1497,3.1513
"10468, Bronx, NY",10468,77657,15.7966,2.9079,0.6074,8.7629,1.0104,3.9544
"10469, Bronx, NY",10469,73008,44.7252,6.0221,0.1668,4.9586,1.205,2.495
"10470, Bronx, NY",10470,14592,38.5628,5.1818,0,7.2287,1.8322,3.1492
"10471, Bronx, NY",10471,22040,41.6984,6.4516,0.3916,6.5134,0.742,6.431
"10472, Bronx, NY",10472,68924,21.9462,4.1308,0.5477,7.4016,1.3577,2.2563
"10473, Bronx, NY",10473,62531,41.4149,5.1862,0.0922,5.5595,1.0408,1.0891
"10474, Bronx, NY",10474,12608,22.924,2.5164,0,14.0916,0.5788,4.9572
"10475, Bronx, NY",10475,44241,37.2987,3.3951,0,3.4321,0.961,1.2039
"11001, Floral Park, NY",11001,28010,74.157,7.8044,0.1399,2.8567,0.7804,3.3574
"11004, Glen Oaks, NY",11004,15151,72.8448,11.485,0.3893,3.0033,0.1112,1.5851
"11005, Floral Park, NY",11005,1762,55.7252,0,0,0,0,13.3588
"11040, New Hyde Park, NY",11040,42140,76.4924,7.3803,0.2197,2.0501,0.6443,2.9482
"11101, Long Island City, NY",11101,28852,12.6983,2.0113,1.3475,5.536,0.6903,3.5048
