Name,FIPS,"# Population, 2020","# Total Population [B01003] | Total population, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Less than high school graduate, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | High school graduate (includes equivalency), 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Some college or associate's degree, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Bachelor's degree, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Graduate or professional degree, 2017"
"11208, Brooklyn, NY",11208,95039,99145,20.7634,46.0327,19.1706,10.4086,3.6246
"11209, Brooklyn, NY",11209,70509,67950,12.0072,18.7944,20.1307,27.7866,21.2811
"11210, Brooklyn, NY",11210,63048,68988,11.2763,28.4249,25.0308,20.8122,14.4557
"11211, Brooklyn, NY",11211,62534,101560,16.3979,19.9781,15.6164,32.1925,15.8151
"11212, Brooklyn, NY",11212,86451,82831,23.9339,35.1895,27.2984,9.5087,4.0694
"11213, Brooklyn, NY",11213,63125,66503,18.2224,28.9399,26.4314,16.3679,10.0384
"11214, Brooklyn, NY",11214,91152,94283,25.1978,26.4883,17.5763,20.8458,9.8919
"11215, Brooklyn, NY",11215,66145,71015,7.3664,7.7341,10.4334,36.1311,38.3351
"11216, Brooklyn, NY",11216,53519,57410,14.0309,22.4194,20.0969,26.7132,16.7396
"11217, Brooklyn, NY",11217,35074,39687,11.1195,11.1783,11.4169,33.2015,33.0838
"11218, Brooklyn, NY",11218,76361,76960,17.8126,20.4723,17.9262,23.9273,19.8616
"11219, Brooklyn, NY",11219,92812,93979,33.8054,32.796,14.88,12.0009,6.5177
"11220, Brooklyn, NY",11220,103653,100412,48.0772,20.952,11.9216,12.6289,6.4203
"11221, Brooklyn, NY",11221,81233,84536,23.3411,25.9756,22.9621,18.5173,9.2039
"11222, Brooklyn, NY",11222,37671,36845,9.267,17.6573,16.8725,35.4427,20.7605
"11223, Brooklyn, NY",11223,82771,80855,22.1106,28.4994,18.5572,19.4691,11.3636
"11224, Brooklyn, NY",11224,49864,45244,19.6012,23.8473,21.4674,20.5738,14.5102
"11225, Brooklyn, NY",11225,59073,59497,13.0992,24.9195,25.345,20.9935,15.6429
"11226, Brooklyn, NY",11226,104726,102585,17.2422,33.2503,22.445,17.7346,9.3279
"11228, Brooklyn, NY",11228,43648,44676,21.1626,28.1616,18.2437,20.5476,11.8846
"11229, Brooklyn, NY",11229,79556,85776,16.0841,26.6913,19.4883,23.1727,14.5636
"11230, Brooklyn, NY",11230,86718,90257,17.7451,22.4265,19.2956,22.7841,17.7487
"11231, Brooklyn, NY",11231,34260,37680,13.3729,12.6761,12.2506,31.5544,30.146
"11232, Brooklyn, NY",11232,28436,28992,34.4822,22.9832,14.6573,16.3135,11.5637
"11233, Brooklyn, NY",11233,67361,74982,22.3578,32.2687,22.2172,15.9637,7.1927
"11234, Brooklyn, NY",11234,90302,97741,10.9904,29.4438,25.5346,20.2598,13.7715
"11235, Brooklyn, NY",11235,80800,80222,12.5579,22.448,19.239,27.403,18.352
"11236, Brooklyn, NY",11236,95076,100633,14.2553,29.4639,29.0673,17.9994,9.2142
"11237, Brooklyn, NY",11237,49831,52319,34.6564,21.56,16.0661,20.7608,6.9566
"11238, Brooklyn, NY",11238,55872,55398,9.383,13.953,16.6223,32.2537,27.7879
"11239, Brooklyn, NY",11239,14044,12713,22.851,33.5077,24.9973,12.1943,6.4495
"11351, Flushing, NY",11351,0,0,0,0,0,0,0
"11354, Flushing, NY",11354,56109,57566,25.928,29.2695,24.3112,13.503,6.9884
"11355, Flushing, NY",11355,85240,82890,29.7178,30.131,20.3484,12.2613,7.5415
