"GROUP","COPD","Physical.Activity","Obese","HighBloodPressure","No.Physical.Activity","No.Health.Insurance","Health.Insurance","Depression","Diabetes","Heart.Disease","No.Computer","Health.Risk.Index","Asthma"
"10039","6.2","18.6","36.6","34.1","36.1","7.76","92.24","16.8","13.8","3.1","13.2","Below Average","13"
"10022","5.4","24","24.9","28","23.2","1.09","98.91","17.4","9.1","4.1","4.43","Low","9.8"
"11104","5.8","18.2","27.6","25.5","33.1","9.29","90.71","17.1","11","3.1","10.47","Low","9.7"
"10040","6.1","17.8","32.5","28","36.2","7.21","92.79","17.7","13.3","3.5","12.86","Below Average","10.4"
"10010","3.9","25.4","23.4","20.9","22.3","3.58","96.42","17.4","7","2.6","5.54","Very low","9.7"
"10021","5.1","24.3","25.1","26","22.7","4.22","95.78","18","8.3","3.6","3.32","Low","10"
"10065","5","24.4","24.8","25.9","22.6","2.45","97.55","17.7","8.3","3.6","4.89","Very low","9.8"
"10026","5.6","19.7","34.9","31","33.5","4.96","95.04","17.1","12.3","2.8","13.29","Below Average","12.3"
"10012","3.9","25.1","23.2","21.1","22.4","4.67","95.33","17.3","7.3","2.6","3.87","Very low","9.5"
"10018","3.1","25.2","22.7","17.5","22.6","6.27","93.73","15.9","6.2","1.8","5.33","Very low","9.1"
"10017","4.1","24.6","23.5","22","22.2","4.73","95.27","17.2","7.4","2.7","2.03","Very low","9.5"
"10028","4.9","24.5","25.4","25.4","22.4","2.35","97.65","18.2","8.1","3.4","2.16","Very low","10"
"10038","4.4","22.9","22.1","22.5","27.4","3.99","96.01","16.2","9.7","2.9","13.86","Very low","9.6"
"10030","5.9","19.2","36.6","32.9","35","7.39","92.61","17","12.9","2.9","10.73","Below Average","13"
"10037","7.2","18","37.1","38.7","37.3","6.85","93.15","16.6","15.8","3.9","14.84","Above Average","13.4"
"11359","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","null","N/A"
"10044","4.8","22.7","26.7","28.1","26.1","7.51","92.49","15.4","10.8","3.4","6.05","Low","9.7"
"10075","4.8","24.7","25.1","24.4","22.2","2.26","97.74","18.3","7.8","3.3","5.73","Very low","10"
"11005","14.2","15.6","23.4","54.5","40.9","0","100","14.1","18.5","11.5","13.84","High","9.9"
"10007","3.5","24.2","24.4","19.2","23.2","0.21","99.79","17","6.8","2","0.43","Very low","9.3"
"10280","3.6","24.2","24.3","20.1","22.4","2.78","97.22","16.8","6.8","2.2","0.44","Very low","9.2"
"10069","5","23.3","25.7","27.3","24.3","1.9","98.1","17","9.4","3.6","0.9","Low","9.9"
"10006","2.1","27.2","21.5","12","19.6","2.43","97.57","17.4","3.2","0.9","0","Very low","9.2"
"10282","3.4","24.9","24.5","18.9","21.6","1.66","98.34","17.4","5.8","2","2.66","Very low","9.4"
"10005","2.1","27.3","21.2","11.7","19.5","2.59","97.41","17.8","3.1","0.9","0","Very low","9.4"
"11109","4.4","20.5","26.9","19.6","28.9","2.69","97.31","18.2","6.8","2","0.55","Very low","9.7"
"10311","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","null","N/A"
"11425","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","null","N/A"
