Name,FIPS,"Median Household Income, 2017","# Total Population [B01003] | Total population, 2017","# Sex By Age [B01001] | Total population | Under 5 years, 2017","# Sex By Age [B01001] | Total population | 5 to 9 years, 2017","# Sex By Age [B01001] | Total population | 10 to 14 years, 2017","# Sex By Age [B01001] | Total population | 15 to 17 years, 2017","# Sex By Age [B01001] | Total population | 18 and 19 years, 2017","# Sex By Age [B01001] | Total population | 20 years, 2017","# Sex By Age [B01001] | Total population | 21 years, 2017","# Sex By Age [B01001] | Total population | 22 to 24 years, 2017","# Sex By Age [B01001] | Total population | 25 to 29 years, 2017","# Sex By Age [B01001] | Total population | 30 to 34 years, 2017","# Sex By Age [B01001] | Total population | 35 to 39 years, 2017","# Sex By Age [B01001] | Total population | 40 to 44 years, 2017","# Sex By Age [B01001] | Total population | 45 to 49 years, 2017","# Sex By Age [B01001] | Total population | 50 to 54 years, 2017","# Sex By Age [B01001] | Total population | 55 to 59 years, 2017","# Sex By Age [B01001] | Total population | 60 and 61 years, 2017","# Sex By Age [B01001] | Total population | 62 to 64 years, 2017","# Sex By Age [B01001] | Total population | 65 and 66 years, 2017","# Sex By Age [B01001] | Total population | 67 to 69 years, 2017","# Sex By Age [B01001] | Total population | 70 to 74 years, 2017","# Sex By Age [B01001] | Total population | 75 to 79 years, 2017","# Sex By Age [B01001] | Total population | 80 to 84 years, 2017","# Sex By Age [B01001] | Total population | 85 years and over, 2017","% Population in Poverty, Total, 2020","% Population in Poverty, Total, 2017","% Population in Poverty, Total, 2010"
"11105, Astoria, NY",11105,72689,37288,1924,1437,1186,723,467,291,359,1828,5318,5008,3341,2260,2621,2145,2105,680,954,620,783,812,961,690,775,17.5609,15.9965,13.6132
"11106, Astoria, NY",11106,60714,40111,1841,1840,1445,779,478,280,164,1802,5718,5014,4485,2854,2301,2228,1853,892,920,745,908,1293,763,660,848,26.7495,24.4404,21.3011
"11109, Long Island City, NY",11109,141989,5298,473,129,15,0,43,0,0,169,1394,1148,761,475,304,132,95,61,43,13,0,15,28,0,0,14.9727,13.4384,11.3652
"11201, Brooklyn, NY",11201,116115,61907,4758,2615,1833,1065,1354,760,801,2066,6880,8764,6204,4969,4120,3162,2737,1014,1756,806,1164,1803,1087,949,1240,11.9412,13.244,12.613
"11203, Brooklyn, NY",11203,66965,75989,4363,4593,4389,3035,1648,995,910,3339,5444,5042,4576,5049,4627,5172,5227,1595,2823,1556,2267,3332,2716,1685,1606,14.1831,15.6772,14.7017
"11204, Brooklyn, NY",11204,58669,80056,7226,6340,5835,3143,1617,985,774,2534,5503,6672,5122,5325,4236,4331,4717,1833,2821,1877,1913,2089,1685,1439,2039,21.1017,23.2116,21.756
"11205, Brooklyn, NY",11205,52392,45148,4061,3700,2921,1419,1701,879,1149,2284,4417,4486,3984,2814,2336,2106,1758,778,974,593,805,699,581,387,316,33.6609,36.3003,34.5918
"11206, Brooklyn, NY",11206,34138,87767,7488,7182,6091,3603,1996,1103,1178,5666,11073,8043,6194,3951,3738,4153,4107,1467,1857,1411,1708,2116,1742,1090,810,34.4956,37.3078,35.5652
"11207, Brooklyn, NY",11207,41708,92580,6539,6168,6580,3698,2286,1515,1244,4605,8405,6529,6143,5472,6206,6373,5951,2216,2679,1364,2156,2301,1598,1402,1150,31.8155,34.5712,32.7384
"11208, Brooklyn, NY",11208,42489,99145,8567,7909,6415,4301,2610,1632,1599,4836,8227,7717,6801,6255,6284,6806,5772,2088,2804,1572,1539,2393,1153,1042,823,28.8134,31.4365,29.6997
"11209, Brooklyn, NY",11209,75450,67950,4259,3535,3028,1629,1071,410,640,2267,6168,5718,4765,4549,4906,4884,4131,1930,2725,1534,1989,2675,1931,1487,1719,14.0819,15.676,14.5841
"11210, Brooklyn, NY",11210,69144,68988,5032,5291,5007,3138,2126,1294,920,2398,5095,4128,4354,4924,4261,4087,4301,1672,2013,1493,1785,2133,1581,1002,953,14.2066,15.8028,14.8716
"11211, Brooklyn, NY",11211,52165,101560,10253,6433,5092,3038,1882,720,1174,4508,15416,13652,9396,5704,4109,3757,3697,1525,2353,1520,1733,1549,1537,963,1549,32.4943,34.7448,33.643
"11212, Brooklyn, NY",11212,37184,82831,5991,4548,5885,3394,2487,1374,983,3272,7036,6386,5316,5845,5840,5805,4808,1781,2100,1436,2255,2315,1665,1163,1146,32.7584,35.4581,33.9782
"11213, Brooklyn, NY",11213,46427,66503,4700,3826,4184,2781,1560,1112,1249,3359,6501,5059,4389,4062,3886,4594,4495,1402,1852,1081,1212,1760,1505,820,1114,25.676,28.1952,26.5313
"11214, Brooklyn, NY",11214,53428,94283,5842,5360,4879,3060,1448,928,1180,3318,7907,6914,6902,6463,6382,6691,6142,2204,3407,2143,2829,2991,2355,2226,2712,16.4527,18.3176,17.107
"11215, Brooklyn, NY",11215,120015,71015,5704,4239,3083,1671,514,327,277,2705,7775,8267,7895,6350,4977,3749,3385,1414,1727,1179,1510,1739,1133,789,606,7.987,8.981,8.3132
"11216, Brooklyn, NY",11216,55654,57410,2897,2612,2132,1447,767,785,654,3403,8771,6307,4755,3458,3777,3234,3302,1171,1696,758,988,1377,1176,1040,903,22.1454,24.4482,22.946
"11217, Brooklyn, NY",11217,101991,39687,2843,1534,1558,931,301,210,218,1497,5118,5512,4323,3041,2875,1796,1844,859,1043,755,948,947,631,474,429,13.3432,14.8197,13.9964
"11218, Brooklyn, NY",11218,64117,76960,7543,5679,5586,2846,1434,1048,697,2836,6385,6571,6197,5410,4162,4384,3962,1328,2325,1325,1702,2084,1332,1047,1077,22.2836,24.4351,23.0507
"11219, Brooklyn, NY",11219,44920,93979,11863,8802,8074,4419,2078,1194,1497,4439,7760,6468,4969,5171,4109,4279,4131,1622,2269,2139,2000,1664,1450,1174,2408,31.3419,34.1383,32.2891
"11220, Brooklyn, NY",11220,44647,100412,7825,7101,6195,3026,2119,1149,1353,4061,10281,8837,8301,7276,6367,6625,5275,2197,2249,1620,1960,2034,1774,1671,1116,27.4792,30.0581,28.3644
"11221, Brooklyn, NY",11221,43793,84536,5685,4830,4561,3220,2118,1343,1544,5552,10671,7013,6543,5177,5239,4765,4353,1536,1860,1402,1822,1844,1479,1008,971,27.9615,30.6439,29.0141
