GROUP,boro,count,rate,date,day
75+,5,1199,3786.16,2020-05-28,11
0-17,1,1661,284.85,2020-05-29,12
18-44,1,19710,1878.01,2020-05-29,12
45-64,1,18962,3208.76,2020-05-29,12
65-74,1,7655,3745.31,2020-05-29,12
75+,1,6735,4349.17,2020-05-29,12
0-17,2,1573,445.78,2020-05-29,12
18-44,2,16674,3000.7,2020-05-29,12
45-64,2,16830,4946.77,2020-05-29,12
65-74,2,5165,5063.03,2020-05-29,12
75+,2,4625,5684.54,2020-05-29,12
0-17,3,417,179.34,2020-05-29,12
18-44,3,8718,1172.68,2020-05-29,12
45-64,3,8128,2117.49,2020-05-29,12
65-74,3,3397,2321.29,2020-05-29,12
75+,3,4098,3343.64,2020-05-29,12
0-17,4,1407,309.24,2020-05-29,12
18-44,4,22436,2618.71,2020-05-29,12
45-64,4,23230,3810.46,2020-05-29,12
65-74,4,7128,3546.46,2020-05-29,12
75+,4,6630,4235.66,2020-05-29,12
0-17,5,397,383.87,2020-05-29,12
18-44,5,5269,3206.67,2020-05-29,12
45-64,5,5131,3905.08,2020-05-29,12
65-74,5,1332,2934.89,2020-05-29,12
75+,5,1203,3798.79,2020-05-29,12
0-17,1,1671,286.56,2020-05-30,13
18-44,1,19823,1888.77,2020-05-30,13
45-64,1,19055,3224.5,2020-05-30,13
65-74,1,7684,3759.5,2020-05-30,13
75+,1,6761,4365.96,2020-05-30,13
0-17,2,1586,449.46,2020-05-30,13
18-44,2,16760,3016.18,2020-05-30,13
45-64,2,16882,4962.05,2020-05-30,13
65-74,2,5184,5081.66,2020-05-30,13
75+,2,4645,5709.12,2020-05-30,13
0-17,3,418,179.77,2020-05-30,13
18-44,3,8762,1178.6,2020-05-30,13
45-64,3,8187,2132.86,2020-05-30,13
65-74,3,3411,2330.86,2020-05-30,13
75+,3,4114,3356.7,2020-05-30,13
0-17,4,1421,312.31,2020-05-30,13
18-44,4,22517,2628.16,2020-05-30,13
45-64,4,23312,3823.91,2020-05-30,13
65-74,4,7149,3556.91,2020-05-30,13
75+,4,6647,4246.52,2020-05-30,13
0-17,5,399,385.81,2020-05-30,13
18-44,5,5287,3217.62,2020-05-30,13
45-64,5,5146,3916.49,2020-05-30,13
65-74,5,1338,2948.11,2020-05-30,13
75+,5,1206,3808.26,2020-05-30,13
0-17,1,1676,287.42,2020-05-31,14
18-44,1,19901,1896.2,2020-05-31,14
45-64,1,19130,3237.19,2020-05-31,14
65-74,1,7704,3769.28,2020-05-31,14
75+,1,6796,4388.56,2020-05-31,14
0-17,2,1591,450.88,2020-05-31,14
18-44,2,16815,3026.08,2020-05-31,14
45-64,2,16946,4980.87,2020-05-31,14
65-74,2,5196,5093.42,2020-05-31,14
75+,2,4662,5730.02,2020-05-31,14
0-17,3,418,179.77,2020-05-31,14
18-44,3,8798,1183.44,2020-05-31,14
45-64,3,8213,2139.64,2020-05-31,14
65-74,3,3420,2337.01,2020-05-31,14
75+,3,4123,3364.04,2020-05-31,14
0-17,4,1427,313.63,2020-05-31,14
18-44,4,22586,2636.21,2020-05-31,14
45-64,4,23371,3833.59,2020-05-31,14
65-74,4,7177,3570.84,2020-05-31,14
75+,4,6661,4255.47,2020-05-31,14
0-17,5,399,385.81,2020-05-31,14
18-44,5,5296,3223.1,2020-05-31,14
45-64,5,5158,3925.63,2020-05-31,14
65-74,5,1343,2959.13,2020-05-31,14
75+,5,1213,3830.37,2020-05-31,14
0-17,1,1683,288.62,2020-06-01,15
18-44,1,19946,1900.49,2020-06-01,15
45-64,1,19169,3243.79,2020-06-01,15
65-74,1,7712,3773.2,2020-06-01,15
75+,1,6815,4400.83,2020-06-01,15
0-17,2,1591,450.88,2020-06-01,15
18-44,2,16846,3031.66,2020-06-01,15
45-64,2,16968,4987.33,2020-06-01,15
65-74,2,5208,5105.18,2020-06-01,15
75+,2,4667,5736.16,2020-06-01,15
0-17,3,420,180.63,2020-06-01,15
18-44,3,8818,1186.13,2020-06-01,15
45-64,3,8224,2142.5,2020-06-01,15
65-74,3,3426,2341.11,2020-06-01,15
75+,3,4120,3361.59,2020-06-01,15
0-17,4,1431,314.51,2020-06-01,15
18-44,4,22617,2639.83,2020-06-01,15
45-64,4,23393,3837.2,2020-06-01,15
65-74,4,7181,3572.83,2020-06-01,15
75+,4,6666,4258.66,2020-06-01,15
0-17,5,399,385.81,2020-06-01,15
18-44,5,5297,3223.71,2020-06-01,15
45-64,5,5155,3923.34,2020-06-01,15
65-74,5,1343,2959.13,2020-06-01,15
75+,5,1212,3827.21,2020-06-01,15
0-17,1,1687,289.31,2020-06-02,16
18-44,1,19977,1903.45,2020-06-02,16
45-64,1,19203,3249.54,2020-06-02,16
65-74,1,7722,3778.09,2020-06-02,16
